Rank,Name,Score,Age
15,JEAN-CHARLES VALLADONT ,130,29
34,MATTHEW REQUA ,84.6,29
39,PIERRE PLIHON ,76.5,29
126,ELIAS MALAVE ,31.35,29
180,BAE JAEHYEON ,22.95,29
7,BRADY ELLISON ,177.75,30
83,JAKE KAMINSKI ,43,30
87,ADRIAN PUENTES ,41.675,30
93,YURIY HAVELKO ,40.763,30
158,DANIEL CATARIZ RAGBIR ,25.8,30
161,JOHAN WEISS ,25,30
4,MAURO NESPOLI ,218.25,31
85,OSCAR TICAS ,42,31
101,WITTHAYA THAMWONG ,37.8,31
111,OIBEK SAIDIYEV ,35.5,31
6,IM DONG HYUN ,188,32
13,CRISPIN DUENAS ,131.6,32
48,KIKUCHI HIDEKI ,64.75,32
62,BRIAN MAXWELL ,52.6,32
143,ALEXANDROS KARAGEORGIOU ,27.1,32
67,AMEDEO TONELLI ,50.738,33
116,VISWASH ,33.75,33
12,FURUKAWA TAKAHARU ,136,34
88,JEFF HENCKELS ,41.225,34
114,JUAN RENE SERRANO ,35,34
117,ALEXANDER LIAHUSHEV ,33.5,34
53,MARCO GALIAZZO ,61.05,35
187,FLORANTE F. MATAN ,22.4,35
98,DANIEL REZENDE XAVIER ,39.375,36
14,OH JIN HYEK ,131.5,37
90,VIKTOR RUBAN ,41,37
150,MARK JAVIER ,26.85,37
176,ANTONIO FERNANDEZ ,23.2,37
117,SAMULI PIIPPO ,33.5,38
127,MARKIYAN IVASHKO ,31.2,39
188,THOMAS STANWOOD ,22,40
144,MICHELE FRANGILLI ,27,42
172,MA HING KIN ,23.8,42
110,DENCHAI THEPNA ,35.9,43
188,GANTUGS JANTSAN ,22,46
123,GHENADI IEPURI ,31.9,47
117,JUAN CARLOS STEVENS ,33.5,50
