Rank,Name,Score,Age
15,JEAN-CHARLES VALLADONT ,130,29
34,MATTHEW REQUA ,84.6,29
39,PIERRE PLIHON ,76.5,29
126,ELIAS MALAVE ,31.35,29
180,BAE JAEHYEON ,22.95,29
7,BRADY ELLISON ,177.75,30
83,JAKE KAMINSKI ,43,30
87,ADRIAN PUENTES ,41.675,30
93,YURIY HAVELKO ,40.763,30
158,DANIEL CATARIZ RAGBIR ,25.8,30
161,JOHAN WEISS ,25,30
4,MAURO NESPOLI ,218.25,31
85,OSCAR TICAS ,42,31
101,WITTHAYA THAMWONG ,37.8,31
111,OIBEK SAIDIYEV ,35.5,31
6,IM DONG HYUN ,188,32
13,CRISPIN DUENAS ,131.6,32
48,KIKUCHI HIDEKI ,64.75,32
62,BRIAN MAXWELL ,52.6,32
143,ALEXANDROS KARAGEORGIOU ,27.1,32
67,AMEDEO TONELLI ,50.738,33
116,VISWASH ,33.75,33
