Rank,Name,Score,Age,Avg Arrow
67,AMEDEO TONELLI ,50.738,33,8.7
116,VISWASH ,33.75,33,9.01
12,FURUKAWA TAKAHARU ,136,34,9.27
88,JEFF HENCKELS ,41.225,34,8.94
114,JUAN RENE SERRANO ,35,34,9.02
117,ALEXANDER LIAHUSHEV ,33.5,34,9.07
53,MARCO GALIAZZO ,61.05,35,9.16
187,FLORANTE F. MATAN ,22.4,35,8.76
98,DANIEL REZENDE XAVIER ,39.375,36,8.88
14,OH JIN HYEK ,131.5,37,9.48
90,VIKTOR RUBAN ,41,37,8.97
150,MARK JAVIER ,26.85,37,8.63
176,ANTONIO FERNANDEZ ,23.2,37,8.92
117,SAMULI PIIPPO ,33.5,38,8.94
127,MARKIYAN IVASHKO ,31.2,39,9.16
188,THOMAS STANWOOD ,22,40,8.83
144,MICHELE FRANGILLI ,27,42,9.13
172,MA HING KIN ,23.8,42,8.5
110,DENCHAI THEPNA ,35.9,43,8.9
188,GANTUGS JANTSAN ,22,46,9.02
123,GHENADI IEPURI ,31.9,47,8.79
117,JUAN CARLOS STEVENS ,33.5,50,8.9
