Date,Team,Acquired,Relinquished,Notes
2/22/18,76ers, Joel Embiid,,returned to lineup
2/22/18,Grizzlies,, Chandler Parsons,illness (DTD)
2/22/18,Hawks,, Malcolm Delaney,strained right knee (DTD)
2/22/18,Hawks, Dennis Schroder,,returned to lineup
2/22/18,Magic, Aaron Gordon,,returned to lineup
2/22/18,Nets, Jahlil Okafor,,returned to lineup
2/22/18,Hawks,, Antonius Cleveland,left ankle injury (DTD)
2/23/18,Clippers,, Danilo Gallinari,sprained right hand (DTD)
2/23/18,Jazz,,Raul Neto,sprained right ankle (DTD)
2/23/18,Rockets,, Eric Gordon,illness (DTD)
2/23/18,Spurs,, Danny Green,illness (DTD)
2/24/18,Bulls,, Paul Zipser,left foot injury (DTD)
2/24/18,Grizzlies,, Marc Gasol,DNP
2/24/18,Lakers,, Channing Frye,recovering from appendectomy (DTD)
2/25/18,Spurs,, Emanuel Ginobili / Manu Ginobili,bruised sternum (DTD)
2/25/18,Spurs, Danny Green,,returned to lineup
2/25/18,Timberwolves,, Jimmy Butler,surgery on right knee to repair meniscus injury
2/26/18,Hawks,, DeAndre' Bembry,strained abdominal (DTD)
2/26/18,Kings,, Garrett Temple,back injury (DTD)
2/26/18,Nets,, Jahlil Okafor,illness (DTD)
2/26/18,Rockets,, Brandan Wright,sore right knee (DTD)
2/26/18,Rockets,, Clint Capela,illness (DTD)
2/26/18,Rockets,, Ryan Anderson,sore left groin/hip (DTD)
2/27/18,Grizzlies,, Deyonta Davis,left ankle injury (DTD)
2/27/18,Heat, Kelly Olynyk,,returned to lineup
2/28/18,Bucks,, Tony Snell,bruised right thigh (DTD)
2/28/18,Celtics,, Daniel Theis,sore right hamstring (DTD)
2/28/18,Hawks, Malcolm Delaney,,returned to lineup
2/28/18,Hornets,, Michael Kidd-Gilchrist,sore left hamstring (DTD)
2/28/18,Lakers,, Josh Hart,fractured left hand (out indefinitely)
2/28/18,Rockets, Clint Capela,,returned to lineup
2/28/18,Rockets, Eric Gordon,,returned to lineup
2/28/18,Spurs, Emanuel Ginobili / Manu Ginobili,,returned to lineup
3/1/18,Heat,, Wayne Ellington,bruised left quadricep (DTD)
3/1/18,Kings, Garrett Temple,,returned to lineup
3/2/18,Clippers,, Danilo Gallinari,fractured right hand (out indefinitely)
3/2/18,Grizzlies,, Andrew Harrison,right wrist injury (DTD)
3/2/18,Grizzlies,, JaMychal Green,illness (DTD)
3/2/18,Hornets, Michael Kidd-Gilchrist,,returned to lineup
