RANK,FULL_NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
1,Aaron Brooks,Min,PG,33,32,5.9,12.3,19.8,0.13,11,0.727,38,0.447,31,0.355,0.486,0.508,2.3,0.5,5.2,0.6,15,0.19,0,0.34,6,103.1,100.4
2,Aaron Gordon,Orl,SF,22,58,32.9,68.6,24.7,0.1,225,0.698,523,0.497,342,0.336,0.5,0.53,17.6,7.9,13.2,2.3,11.7,1.02,0.78,1.84,8.3,103.6,106.2
3,Aaron Harrison,Dal,SG,23,9,25.9,54,15.5,0.038,17,0.765,26,0.385,43,0.209,0.341,0.392,6.7,2.7,5.7,1.2,6.7,1,0.22,0.33,4.3,87.9,100.8
4,Aaron Jackson,Hou,F,31,1,34.5,71.9,13.9,0.092,2,0.5,5,0.4,4,0.25,0.389,0.405,8,3,4.9,1,4,0,0,1,3.3,91.3,101.6
5,Abdel Nader,Bos,SF,24,48,10.9,22.6,17.1,0.17,39,0.59,84,0.321,65,0.354,0.413,0.439,3,1.5,7.4,0.5,7.2,0.31,0.21,0.71,4.8,83.1,99.1
6,Adreian Payne,Orl,PF,26,5,8.5,17.8,15.1,0.137,6,0.833,7,0.714,3,0.667,0.8,0.831,4.2,1.8,11.6,0,0,0.4,0,0.4,0,140.6,97.1
7,Al Horford,Bos,C,31,72,31.6,65.9,18.4,0.141,120,0.783,527,0.514,226,0.429,0.553,0.575,12.9,7.4,12.7,4.7,23.6,0.6,1.08,1.83,9.7,115.4,100.4
8,Al Jefferson,Ind,C,33,36,13.4,28,22.6,0.086,36,0.833,205,0.541,3,0,0.534,0.563,7,4,16.7,0.8,10.1,0.44,0.64,0.58,8.4,112.9,93.9
9,Alan Williams,Pho,PF,25,5,14.1,29.3,17.5,0.242,9,0.667,18,0.389,0,0,0.389,0.455,4,4.4,16.7,1.6,16.2,1,0.2,1.4,8.6,86.2,90.5
10,Alec Burks,Uta,SG,26,64,16.5,34.5,22.5,0.114,124,0.863,272,0.452,142,0.331,0.467,0.527,7.7,3,10.3,1,10,0.58,0.13,0.94,6.9,102,99.2
